dist,limit,note
429.003,50,
534.003,85,
669.003,90,95
1354.003,70,
2674.003,100,105
3594.003,95,
4425.169,100,
5600.169,105,
6795.169,105,
15957.69,105,
17007.38,105,
20484.54,105,
21309.54,95,
23444.54,105,
24703.79,105,
25588.79,95,
26673.79,80,
27716.57,95,
28396.57,100,
28611.57,75,
30170.34,105,
32620.34,115,
34005.34,95,
34355.34,105,
34540.34,100,
34700.34,100,
34976.84,100,
35321.84,90,
35681.84,105,
37676.84,105,
38651.84,105,
39011.84,105,
43954.92,115,
46921.59,105,
47651.59,115,
51891.26,105,
52851.26,105,
55226.26,90,
56238.16,100,
64340.52,105,
66351.64,120,
63876.64,115,
67791.64,105,
68676.64,105,
71570.7,105,
72400.7,105,
72480.7,105,
74075.7,75,
74650.7,35,
