dist,limit
-60148,75
-59113,85
-57773,110
-57238,115
-56818,85
-56108,80
-56038,75
-55418,55
-54938,75
-54293,80
-53813,75
-45594,90
-39313,75
-32463,90
-29630,90
-29130,75
-26025,75
-25640,75
-23619,60
-22954,45
-22584,80
-22285.5,90
-21045.5,115
-20745.5,110
-18235.5,105
-17885.5,105
-17100.5,80
-16765.5,80
-15350,100
-15540,90
-15305,60
-15210,70
-14900,65
-14110,65
-14020,60
-13950,75
-13690,85
-13515,75
-13425,70
-13135,75
-12925,90
-12335,75
-11155,75
-10255,80
-10145,80
-9700,85
-9270,85
-8920,45
-8635,60
-7300,80
-7085,55
-6745,75
-6445,70
-6315,75
-5835,60
-5600,60
-5475,65
